num_layers,hucre_tipi,cift_yonlu,batch_norm,units_0,l2_0,init_0,dropout_0,optimizer,learning_rate,clipnorm,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,units_1,l2_1,init_1,dropout_1,units_2,l2_2,init_2,dropout_2,units_3,l2_3,init_3,dropout_3,momentum,batch_size,val_loss,units_4,l2_4,init_4,dropout_4,tuner/trial_id
1,GRU,False,False,480,0.0017563360177390989,random_normal,0.0,adamax,0.0003948697422663148,1.0,3,0,3,0,320,4.089104058058733e-05,glorot_uniform,0.0,480,5.7204038443778187e-05,random_normal,0.1,32,0.008835224501553532,random_normal,0.1,0.0,64,0.022098291665315628,256.0,0.0007079649309085407,random_normal,0.4,
2,SimpleRNN,True,True,320,2.6293331783801907e-05,glorot_uniform,0.4,adam,0.007547858572537946,1.0,3,0,3,0,256,0.0026097574841468904,random_normal,0.30000000000000004,352,0.0015487874062791616,glorot_uniform,0.2,64,0.002466111809490954,he_uniform,0.2,0.1,16,1.2085949182510376,96.0,0.0018713981471352521,he_uniform,0.2,
4,SimpleRNN,False,False,32,0.00011869740769647586,glorot_uniform,0.4,adamax,0.007554544167531015,1.0,3,0,3,0,512,1.99313820010174e-05,glorot_uniform,0.4,128,0.0030212124565728088,random_normal,0.4,416,0.0008919693990099174,random_normal,0.4,0.1,16,0.3217982351779938,224.0,2.644312501283834e-05,random_normal,0.30000000000000004,
2,LSTM,True,False,256,0.0033923068472445222,he_uniform,0.1,adam,0.00012322526568996265,1.0,3,0,3,0,480,0.003307059680211406,he_uniform,0.0,256,0.00035163892485339546,glorot_uniform,0.30000000000000004,32,0.009233208458340405,glorot_uniform,0.30000000000000004,0.5,32,34.96651077270508,288.0,0.006009249013124812,random_normal,0.30000000000000004,
1,LSTM,True,False,96,0.006843473440725627,random_normal,0.1,sgd,0.003378131836989523,0.0,3,0,3,0,416,8.874862293618504e-05,he_uniform,0.30000000000000004,128,0.0004110608616314087,he_uniform,0.0,384,0.0047480211475295015,random_normal,0.0,0.0,32,0.031966738402843475,64.0,0.005879021722490935,glorot_uniform,0.4,
3,LSTM,True,True,512,3.784504813344629e-05,he_uniform,0.0,adam,0.00022102350500721615,1.0,3,0,3,0,384,2.477204168072006e-05,he_uniform,0.2,288,0.0029933882946278655,glorot_uniform,0.1,128,1.2024235471479196e-05,random_normal,0.2,0.4,8,5.6335039138793945,192.0,7.705800914004421e-05,glorot_uniform,0.0,
5,GRU,True,True,32,0.009596488744265856,random_normal,0.1,adam,0.00018008169256644553,0.0,3,0,3,0,128,0.0002972822919905599,he_uniform,0.30000000000000004,32,0.0001402011132796841,he_uniform,0.2,256,3.903801839040575e-05,he_uniform,0.4,0.5,16,0.6676875948905945,192.0,1.3521615008875395e-05,glorot_uniform,0.30000000000000004,
4,SimpleRNN,True,True,96,0.0014949944801929712,glorot_uniform,0.4,rmsprop,0.005986673858497197,1.0,3,0,3,0,288,0.0002335387476251658,glorot_uniform,0.2,160,0.0004952434870220792,random_normal,0.0,288,0.0001650611068158452,glorot_uniform,0.0,0.5,8,0.9061902761459351,480.0,0.0006877574345126618,he_uniform,0.2,
2,GRU,False,True,224,0.002623071038502041,he_uniform,0.1,rmsprop,0.005596263010459105,0.0,3,0,3,0,384,9.868974760966304e-05,glorot_uniform,0.0,448,0.00012620922060688292,glorot_uniform,0.30000000000000004,416,1.4137978975953726e-05,random_normal,0.30000000000000004,0.5,8,0.6266238689422607,64.0,0.00040038051991221,he_uniform,0.30000000000000004,
2,GRU,True,True,96,5.181870579049109e-05,glorot_uniform,0.1,rmsprop,0.0002026525193223223,1.0,3,0,3,0,288,0.004225464101878842,glorot_uniform,0.1,480,0.005702313651821017,random_normal,0.1,384,0.0009700256795291821,he_uniform,0.30000000000000004,0.30000000000000004,16,2.336433172225952,32.0,0.003600556301636656,glorot_uniform,0.2,
2,GRU,True,False,128,0.0001867992511444232,glorot_uniform,0.0,adamax,0.000450219899401971,1.0,3,0,3,0,288,0.0019692379089775217,glorot_uniform,0.4,256,0.0001545832407504449,glorot_uniform,0.0,96,4.732752932786752e-05,random_normal,0.30000000000000004,0.8,8,0.17407819628715515,160.0,0.003343648880295255,glorot_uniform,0.0,
2,SimpleRNN,False,False,160,0.0002876853321455054,he_uniform,0.1,adam,0.0013374133933164007,0.0,3,0,3,0,128,0.0010170140741798442,he_uniform,0.2,288,0.0026477302894962608,glorot_uniform,0.2,256,0.0008290565458735264,random_normal,0.2,0.7000000000000001,16,0.44456765055656433,224.0,0.0004824395216325371,random_normal,0.2,
5,SimpleRNN,False,True,64,0.000273298685962854,he_uniform,0.4,sgd,0.0005355035267411966,0.0,3,0,3,0,384,1.875817536732116e-05,glorot_uniform,0.4,320,0.004863261771620998,glorot_uniform,0.0,256,0.00012349501007537927,glorot_uniform,0.2,0.8,16,1.9042257070541382,352.0,6.477777076002603e-05,he_uniform,0.1,
1,LSTM,False,False,384,0.0005027731605941626,glorot_uniform,0.30000000000000004,sgd,0.0012916183462591186,1.0,3,0,3,0,320,4.188561619023862e-05,he_uniform,0.4,352,0.0008615943638908687,glorot_uniform,0.0,224,0.0033122851396782038,glorot_uniform,0.4,0.5,64,0.046626340597867966,224.0,0.005600646421452508,glorot_uniform,0.1,
5,GRU,True,False,448,0.0004954323015420439,he_uniform,0.1,sgd,0.007026560351196099,1.0,3,0,3,0,224,0.00017409473456033968,glorot_uniform,0.1,288,2.6464192364496168e-05,he_uniform,0.2,384,4.6063222549768425e-05,random_normal,0.0,0.8,32,6.135434627532959,512.0,0.0004661941083582669,random_normal,0.1,
1,GRU,False,True,32,0.009696943822357685,glorot_uniform,0.2,sgd,0.0019763725478409333,0.0,3,0,3,0,32,0.00017976711346215894,random_normal,0.4,224,0.009039086973078635,glorot_uniform,0.30000000000000004,352,1.0082235528858364e-05,random_normal,0.30000000000000004,0.1,32,0.053460411727428436,256.0,0.0003793731179300148,glorot_uniform,0.0,
1,SimpleRNN,True,True,352,0.0006565633463247954,random_normal,0.0,adamax,0.0013495506592223672,1.0,3,0,3,0,352,0.0008061447817301621,glorot_uniform,0.0,512,0.0026185713386263133,he_uniform,0.2,256,0.002943173291625233,glorot_uniform,0.2,0.4,64,0.019201774150133133,192.0,0.00011844077517552221,random_normal,0.2,
1,GRU,False,False,288,0.00010199492808918333,glorot_uniform,0.30000000000000004,adam,0.0001018885398410015,0.0,3,0,3,0,352,0.00112185798344946,he_uniform,0.1,256,0.0001461490560025892,he_uniform,0.1,512,0.0030802070945564752,glorot_uniform,0.0,0.8,64,0.016578752547502518,224.0,0.0031046478784541565,glorot_uniform,0.30000000000000004,
1,SimpleRNN,False,True,352,0.009201505727005656,he_uniform,0.2,adamax,0.001022669883203695,1.0,3,0,3,0,416,9.829816001452046e-05,glorot_uniform,0.2,512,0.004000039464324845,random_normal,0.0,512,1.5292202509704327e-05,random_normal,0.0,0.8,16,5.985650062561035,96.0,0.0022082114368874037,random_normal,0.30000000000000004,
1,GRU,False,False,288,0.00010199492808918333,glorot_uniform,0.30000000000000004,adam,0.0001018885398410015,0.0,7,3,3,1,352,0.00112185798344946,he_uniform,0.1,256,0.0001461490560025892,he_uniform,0.1,512,0.0030802070945564752,glorot_uniform,0.0,0.8,64,0.015300357714295387,224.0,0.0031046478784541565,glorot_uniform,0.30000000000000004,0032
1,SimpleRNN,True,True,352,0.0006565633463247954,random_normal,0.0,adamax,0.0013495506592223672,1.0,7,3,3,1,352,0.0008061447817301621,glorot_uniform,0.0,512,0.0026185713386263133,he_uniform,0.2,256,0.002943173291625233,glorot_uniform,0.2,0.4,64,1.6886944770812988,192.0,0.00011844077517552221,random_normal,0.2,0031
1,GRU,False,False,480,0.0017563360177390989,random_normal,0.0,adamax,0.0003948697422663148,1.0,7,3,3,1,320,4.089104058058733e-05,glorot_uniform,0.0,480,5.7204038443778187e-05,random_normal,0.1,32,0.008835224501553532,random_normal,0.1,0.0,64,0.01749430224299431,256.0,0.0007079649309085407,random_normal,0.4,0015
1,LSTM,True,False,96,0.006843473440725627,random_normal,0.1,sgd,0.003378131836989523,0.0,7,3,3,1,416,8.874862293618504e-05,he_uniform,0.30000000000000004,128,0.0004110608616314087,he_uniform,0.0,384,0.0047480211475295015,random_normal,0.0,0.0,32,0.030008893460035324,64.0,0.005879021722490935,glorot_uniform,0.4,0019
2,SimpleRNN,False,False,64,0.006180262007777062,glorot_uniform,0.1,sgd,0.004403659556036458,0.0,7,3,3,1,64,1.3507964836634393e-05,he_uniform,0.30000000000000004,416,0.003004322397227246,glorot_uniform,0.1,160,0.0029028747335752753,he_uniform,0.30000000000000004,0.2,64,0.030248230323195457,192.0,0.0007462460257829704,glorot_uniform,0.30000000000000004,0013
1,LSTM,False,False,384,0.0005027731605941626,glorot_uniform,0.30000000000000004,sgd,0.0012916183462591186,1.0,7,3,3,1,320,4.188561619023862e-05,he_uniform,0.4,352,0.0008615943638908687,glorot_uniform,0.0,224,0.0033122851396782038,glorot_uniform,0.4,0.5,64,0.02107829973101616,224.0,0.005600646421452508,glorot_uniform,0.1,0028
1,GRU,False,True,32,0.009696943822357685,glorot_uniform,0.2,sgd,0.0019763725478409333,0.0,7,3,3,1,32,0.00017976711346215894,random_normal,0.4,224,0.009039086973078635,glorot_uniform,0.30000000000000004,352,1.0082235528858364e-05,random_normal,0.30000000000000004,0.1,32,0.03645099326968193,256.0,0.0003793731179300148,glorot_uniform,0.0,0030
2,LSTM,True,False,96,3.09743356107597e-05,glorot_uniform,0.2,sgd,0.008616178537110575,1.0,7,3,3,1,128,0.00012178703452831112,random_normal,0.1,288,4.208931142452125e-05,he_uniform,0.0,96,0.00012566756034928234,random_normal,0.1,0.4,64,0.07697504013776779,224.0,6.936298725511623e-05,glorot_uniform,0.0,0014
1,LSTM,False,False,96,0.00015848564357002942,he_uniform,0.0,adam,0.0005656677780014923,1.0,7,3,3,1,288,0.00011239435767055978,random_normal,0.2,480,0.0037483382660789774,random_normal,0.0,128,3.0024838649075813e-05,he_uniform,0.0,0.6000000000000001,8,0.10484099388122559,480.0,0.005478794870972872,random_normal,0.30000000000000004,0011
